epoch,As_AUC,As_loss,C_accuracy,C_loss,Cd_AUC,Cd_loss,K_accuracy,K_loss,N_accuracy,N_loss,Pb_AUC,Pb_loss,learning_rate,loss,val_As_AUC,val_As_loss,val_C_accuracy,val_C_loss,val_Cd_AUC,val_Cd_loss,val_K_accuracy,val_K_loss,val_N_accuracy,val_N_loss,val_Pb_AUC,val_Pb_loss,val_loss
0,0.4945387840270996,0.3407554030418396,0.33799734711647034,1.1285120248794556,0.517682671546936,0.3338691294193268,0.9384615421295166,0.25523290038108826,0.3305039703845978,1.12382173538208,0.493226021528244,0.3430027663707733,0.0010000000474974513,3.5257937908172607,0.5263874530792236,0.33642151951789856,0.3352785110473633,1.0996336936950684,0.5151697397232056,0.29805082082748413,0.9403182864189148,0.22979258000850677,0.35358089208602905,1.097324013710022,0.5,0.3254598081111908,3.386892557144165
1,0.5015496611595154,0.331645667552948,0.3505968153476715,1.100394606590271,0.5027074813842773,0.32816675305366516,0.9401193857192993,0.23593677580356598,0.3511936366558075,1.1012119054794312,0.49740543961524963,0.33497175574302673,0.0010000000474974513,3.4317612648010254,0.5054096579551697,0.3426571190357208,0.44880637526512146,1.0622522830963135,0.5134719014167786,0.2982189655303955,0.9403182864189148,0.23339426517486572,0.42652520537376404,1.066717267036438,0.4753715693950653,0.3272625505924225,3.330767869949341
2,0.49319911003112793,0.3324299454689026,0.4757957458496094,1.0221960544586182,0.49621275067329407,0.3289070129394531,0.9401193857192993,0.2338494509458542,0.479774534702301,1.0224106311798096,0.4847370386123657,0.33478957414627075,0.0010000000474974513,3.2745437622070312,0.5188438892364502,0.3377853333950043,0.5214853882789612,0.9704713821411133,0.5160773992538452,0.2988176643848419,0.9403182864189148,0.22607195377349854,0.520159125328064,0.9791044592857361,0.5129775404930115,0.32572034001350403,3.1384737491607666
3,0.4980107843875885,0.330165833234787,0.5104774832725525,0.9799194931983948,0.5170959830284119,0.3251386284828186,0.9401193857192993,0.23373821377754211,0.5069628357887268,0.9835764169692993,0.5074897408485413,0.3315906226634979,0.0010000000474974513,3.1848015785217285,0.548625111579895,0.33746692538261414,0.5347480177879333,0.9363428354263306,0.5256702899932861,0.29756325483322144,0.9403182864189148,0.22105857729911804,0.5214853882789612,0.9521446824073792,0.4966420531272888,0.32612907886505127,3.071335792541504
4,0.5125842094421387,0.3292502760887146,0.5375994443893433,0.9412455558776855,0.51820969581604,0.32440119981765747,0.9401193857192993,0.2298758178949356,0.5278514623641968,0.9480030536651611,0.5097205638885498,0.3328675329685211,0.0010000000474974513,3.10597562789917,0.564415454864502,0.33519795536994934,0.5726790428161621,0.8915888667106628,0.5444233417510986,0.29749712347984314,0.9403182864189148,0.22194695472717285,0.5413793325424194,0.9092628359794617,0.48687154054641724,0.32729077339172363,2.983489513397217
5,0.525877058506012,0.32697948813438416,0.5853448510169983,0.8734328150749207,0.5265548229217529,0.3245057463645935,0.9401193857192993,0.22697293758392334,0.5628647208213806,0.8915277123451233,0.5189712643623352,0.331755131483078,0.0010000000474974513,2.9748942852020264,0.5801299214363098,0.3360974192619324,0.634482741355896,0.8143709301948547,0.6177550554275513,0.2933158278465271,0.9403182864189148,0.22393926978111267,0.5986737608909607,0.8437858819961548,0.5620449781417847,0.323607861995697,2.8359198570251465
6,0.6088135242462158,0.3167954087257385,0.6286472082138062,0.8091920018196106,0.6482957005500793,0.30789777636528015,0.9401193857192993,0.22451667487621307,0.5810344815254211,0.8424384593963623,0.6072892546653748,0.3220473527908325,0.0010000000474974513,2.8234033584594727,0.7342102527618408,0.3053759038448334,0.6395225524902344,0.7688627243041992,0.7566536068916321,0.2667340934276581,0.9403182864189148,0.2129347175359726,0.5832891464233398,0.81435227394104,0.6689143776893616,0.3059096932411194,2.6751439571380615
7,0.6940538287162781,0.30167272686958313,0.6437665820121765,0.7799426317214966,0.718801736831665,0.2926793098449707,0.9401193857192993,0.22005081176757812,0.5911140441894531,0.8155035376548767,0.6553481817245483,0.31322911381721497,0.0010000000474974513,2.724432945251465,0.7141655683517456,0.3116808831691742,0.6453580856323242,0.7558999061584473,0.7990443110466003,0.25105994939804077,0.9403182864189148,0.21237298846244812,0.5931034684181213,0.8033742308616638,0.68821120262146,0.3034009635448456,2.6388354301452637
8,0.7307968735694885,0.2923447787761688,0.655968189239502,0.7662830948829651,0.7588263154029846,0.2806113660335541,0.9401193857192993,0.22150520980358124,0.5961538553237915,0.8009978532791138,0.684261679649353,0.30783697962760925,0.0010000000474974513,2.6680288314819336,0.7869314551353455,0.286702424287796,0.6557028889656067,0.7710831165313721,0.7970669269561768,0.25864866375923157,0.9403182864189148,0.2170906513929367,0.588063657283783,0.8280726075172424,0.7079336643218994,0.3015873432159424,2.6640403270721436
9,0.7324461936950684,0.2921222448348999,0.653050422668457,0.7561531066894531,0.7842308282852173,0.27153515815734863,0.9401193857192993,0.21832183003425598,0.6045092940330505,0.7948017716407776,0.7055202722549438,0.30137306451797485,0.0010000000474974513,2.634690523147583,0.7846022844314575,0.2865787148475647,0.6424403190612793,0.771204948425293,0.8210696578025818,0.24407367408275604,0.9403182864189148,0.21328681707382202,0.5724138021469116,0.8304072022438049,0.7174299955368042,0.29465460777282715,2.641230821609497
